0	0
0	0
0	0
0	0
0	-2
0	-2
-1	-2
-2	-6
0	-12
2	-11
0	-16
-3	-28
-5	-32
-5	-41
-7	-57
-10	-72
-12	-88
-12	-90
-12	-88
-11	-83
-10	-69
-10	-53
-7	-36
-4	-20
-2	-11
-1	-6
0	0
0	0
0	0
-1	0
-1	0
-1	-1
0	0
0	0
0	0
0	0
0	0
0	0
-1	1
-2	1
-2	0
-2	-1
-2	-2
-1	-1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	-2
0	-2
0	-3
0	-6
0	-10
0	-12
-2	-18
-2	-29
-2	-33
-4	-42
-7	-60
-9	-75
-10	-87
-9	-90
-9	-88
-9	-82
-8	-68
-6	-51
-4	-33
-3	-17
-1	-10
0	-5
0	0
0	0
0	-1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-1	0
-2	0
-2	0
-2	-1
-1	-1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	-1
1	-2
2	-3
2	-6
0	-12
-2	-13
-1	-18
1	-28
2	-34
-1	-46
-4	-63
-5	-76
-5	-87
-5	-90
-4	-87
-3	-82
-3	-68
-2	-49
-1	-32
-2	-17
-2	-9
-1	-5
0	1
0	0
0	-2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	-1
1	-2
1	-6
0	-14
-2	-14
-1	-15
2	-26
4	-34
1	-50
-2	-65
-2	-75
-2	-87
-2	-90
-1	-86
0	-81
0	-68
0	-49
0	-32
0	-17
0	-9
0	-4
0	1
0	0
0	-2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	-2
0	-7
0	-14
0	-14
0	-14
0	-23
0	-35
-2	-54
-2	-66
-1	-74
1	-86
2	-89
2	-85
2	-81
1	-68
1	-50
0	-32
1	-17
1	-9
1	-5
0	0
-1	0
-1	-2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-1	-2
-1	-6
1	-13
2	-14
1	-16
-2	-24
-4	-36
-4	-54
-2	-64
1	-71
2	-86
3	-88
3	-85
2	-82
2	-68
2	-50
2	-32
1	-17
0	-9
0	-5
0	-1
-1	0
-1	-1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
