198	154	111
154	111	120
111	120	177
120	177	126
177	126	45
126	45	129
45	129	156
129	156	136
156	136	97
136	97	163
97	163	137
163	137	167
137	167	110
167	110	50
110	50	163
50	163	176
163	176	199
176	199	75
199	75	106
75	106	98
106	98	155
98	155	131
155	131	151
131	151	51
151	51	56
51	56	91
56	91	156
91	156	144
156	144	131
144	131	115
131	115	160
115	160	157
160	157	224
157	224	196
224	196	134
196	134	125
134	125	128
125	128	101
128	101	106
101	106	84
106	84	85
84	85	182
85	182	141
182	141	45
141	45	51
45	51	150
51	150	156
150	156	111
156	111	75
111	75	73
75	73	132
73	132	176
132	176	134
176	134	84
134	84	102
84	102	56
102	56	118
56	118	46
118	46	68
46	68	100
68	100	142
100	142	128
142	128	167
128	167	156
167	156	151
156	151	191
151	191	187
191	187	167
187	167	133
167	133	108
133	108	107
108	107	69
107	69	188
69	188	146
188	146	115
146	115	101
115	101	101
101	101	109
101	109	149
109	149	204
149	204	75
204	75	65
75	65	50
65	50	57
50	57	99
57	99	90
99	90	49
90	49	53
49	53	71
53	71	115
71	115	113
115	113	182
113	182	176
182	176	86
176	86	129
86	129	134
129	134	171
134	171	164
171	164	172
164	172	170
172	170	209
172	146	93
146	93	130
93	130	151
130	151	70
151	70	95
70	95	185
95	185	113
185	113	88
113	88	146
88	146	112
146	112	80
112	80	175
80	175	152
175	152	74
152	74	162
74	162	209
162	209	177
209	177	168
177	168	94
168	94	92
94	92	202
92	202	140
202	140	151
140	151	115
151	115	44
115	44	95
44	95	155
95	155	112
155	112	106
112	106	146
106	146	208
146	208	227
208	227	231
227	231	204
231	204	124
204	124	125
124	125	117
125	117	110
117	110	114
110	114	42
114	42	41
42	41	77
41	77	117
77	117	59
117	59	74
59	74	75
74	75	103
75	103	140
103	140	106
140	106	163
106	163	156
163	156	140
156	140	124
140	124	104
124	104	38
104	38	64
38	64	75
64	75	75
75	75	43
75	43	81
43	81	152
81	152	210
152	210	213
210	213	167
213	167	190
167	190	197
190	197	163
197	163	170
163	170	132
170	132	121
132	121	180
121	180	163
180	163	167
163	167	196
167	196	173
196	173	89
173	89	125
89	125	138
125	138	93
138	93	156
93	156	107
156	107	54
107	54	106
54	106	127
106	127	93
127	93	109
93	109	137
109	137	49
137	49	56
49	56	139
56	139	122
139	122	180
122	180	159
180	159	129
159	129	58
129	58	127
58	127	140
127	140	147
140	147	98
147	98	116
98	116	139
107	133	124
133	124	162
124	162	132
162	132	86
132	86	115
86	115	204
115	204	155
204	155	73
155	73	88
73	88	79
88	79	159
79	159	106
159	106	97
106	97	101
97	101	215
101	215	207
215	207	171
207	171	214
171	214	170
214	170	136
170	136	159
136	159	98
159	98	57
98	57	48
57	48	38
48	38	75
38	75	140
75	140	88
140	88	78
88	78	103
78	103	156
103	156	166
156	166	158
166	158	132
158	132	112
132	112	111
112	111	99
111	99	74
99	74	91
74	91	94
91	94	71
94	71	64
71	64	65
64	65	50
65	50	83
50	83	55
83	55	90
55	90	124
90	124	107
124	107	178
107	178	175
178	175	147
175	147	121
147	121	137
121	137	71
137	71	50
71	50	102
50	102	58
102	58	70
58	70	39
70	39	95
39	95	149
95	149	163
149	163	127
163	127	146
127	146	99
146	99	118
99	118	114
118	114	107
114	107	127
107	127	155
127	155	174
155	174	153
174	153	212
153	212	149
212	149	103
149	103	148
103	148	200
148	200	109
200	109	96
109	96	146
96	146	67
146	67	137
67	137	162
137	162	133
162	133	140
133	140	186
140	186	79
186	79	107
79	107	89
107	89	151
89	151	148
151	148	175
148	175	159
175	159	47
159	47	138
47	138	199
138	199	137
199	137	97
137	97	122
97	122	156
156	86	156
86	156	190
156	190	71
190	71	109
71	109	162
109	162	180
162	180	184
180	184	89
184	89	68
89	68	141
68	141	145
141	145	102
145	102	44
102	44	73
44	73	151
73	151	146
151	146	207
146	207	192
207	192	125
192	125	88
125	88	49
88	49	68
49	68	76
68	76	45
76	45	113
45	113	121
113	121	112
121	112	86
112	86	56
86	56	55
56	55	80
55	80	74
80	74	75
74	75	71
75	71	127
71	127	115
127	115	133
115	133	187
133	187	134
187	134	174
134	174	166
174	166	99
166	99	65
99	65	63
65	63	56
63	56	55
56	55	82
55	82	125
82	125	107
125	107	93
107	93	76
93	76	89
76	89	71
89	71	91
71	91	71
91	71	88
71	88	68
88	68	51
68	51	73
51	73	69
73	69	35
69	35	36
35	36	48
36	48	105
48	105	95
105	95	137
95	137	109
137	109	111
109	111	155
111	155	124
155	124	142
124	142	164
142	164	140
164	140	179
140	179	157
179	157	83
157	83	112
83	112	169
112	169	90
169	90	109
90	109	130
109	130	65
130	65	118
65	118	193
118	193	176
193	176	141
176	141	117
141	117	125
117	125	175
125	175	132
175	132	95
132	95	86
95	86	83
86	83	98
83	98	76
98	76	90
76	90	126
90	126	139
126	139	138
139	138	151
138	151	140
142	126	165
126	165	174
165	174	54
174	54	163
54	163	157
163	157	112
157	112	177
112	177	104
177	104	147
104	147	142
147	142	109
142	109	161
109	161	76
161	76	106
76	106	122
106	122	120
122	120	125
120	125	71
125	71	47
71	47	49
47	49	81
49	81	110
81	110	103
110	103	90
103	90	130
90	130	128
130	128	120
128	120	89
120	89	58
89	58	56
58	56	56
56	56	49
56	49	31
49	31	38
31	38	124
38	124	157
124	157	153
157	153	215
153	215	180
215	180	171
