data0	data1	data2	data3	data4	data5	data6	data7	data8	class	
0.55	3.46	0.0	0.95	6.8	0.0	2.14	5.01	0.1	2.00	
0.86	6.16	0.0	0.0	4.91	0.37	1.68	8.73	1.35	2.00	
0.55	5.3	0.0	0.0	5.18	0.0	2.99	8.27	1.29	2.00	
0.93	6.02	0.0	0.0	5.01	0.0	3.22	9.41	1.09	2.00	
0.92	6.61	0.0	0.0	3.19	1.92	0.47	8.78	3.83	2.00	
1.56	4.78	0.0	0.0	5.48	0.0	0.95	7.12	1.69	2.00	
1.22	4.64	0.0	0.0	5.51	0.0	1.5	6.86	1.65	2.00	
0.54	5.77	0.0	0.0	5.27	0.0	3.88	8.72	0.54	2.00	
2.14	4.74	0.0	0.24	6.49	0.0	1.22	5.17	1.13	2.00	
2.08	5.39	2.27	0.0	1.74	3.33	2.96	8.6	2.08	2.00	
1.97	4.45	0.0	2.4	7.48	0.0	0.06	3.23	0.0	2.00	
0.55	2.41	0.0	0.2	9.43	0.68	0.0	0.0	0.0	2.00	
